    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
最低,    0,    0,    0,    0,    0,    0,    0,    1,    1,    1,    1,    1,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,     ,     ,    0,     ,     
日数,   26,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   30,   29,   29,   30,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  733,     
合計,  165,  187,  166,  122,  129,   94,  149,  291,  409,  382,  301,  252,  234,  245,  209,  147,  128,  176,  367,  466,  403,  311,  236,  194,     ,     ,     ,     , 5763
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (4),二酸化窒素           ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   10,    5,    6,    5,    5,    5,    6,    6,    6,    5,    5,    5,    4,    4,    4,    7,    6,    6,    6,    7,   10,   10,   10,   10,    6,   10,    4,   24,  153
 2日,*****,   10,    8,    8,   14,   22,   18,   20,   20,   22,   20,   16,    9,   16,   24,   20,    9,   16,   24,   31,   39,   28,   37,   26,   20,   39,    8,   23,  457
 3日,   12,   11,    9,    8,    9,   14,   19,   18,   12,    6,    4,    4,    4,    3,    5,    8,   10,   19,   35,   37,   19,   18,   22,   31,   14,   37,    3,   24,  337
 4日,   34,   30,   27,   33,   27,   30,   23,   28,   31,   30,   28,   25,   21,   14,   16,   18,   30,   47,   55,   61,   64,   60,   55,   52,   35,   64,   14,   24,  839
 5日,   44,   40,   38,   37,   38,   35,   35,   35,   27,   19,   16,   11,    9,    9,   12,   17,   34,   43,   62,   64,   58,   56,   50,   49,   35,   64,    9,   24,  838
