    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
21日,   52,   45,   44,   41,   39,   40,   40,   35,   30,   22,   28,   36,   32,   33,   27,   30,   27,   28,   29,   31,   33,   39,   41,   41,   35,   52,   22,   24,  843
22日,   42,   44,   48,   50,   51,   51,   52,   52,   54,   54,   54,   53,   53,   55,   59,   60,   57,   57,   53,   52,   56,   59,   58,   60,   54,   60,   42,   24, 1284
23日,   58,   58,   56,   59,   61,   62,   58,   63,   74,   97,  122,  131,  131,  126,  110,   94,   83,   69,   64,   58,   56,   53,   50,   48,   77,  131,   48,   24, 1841
24日,   47,   47,   44,   44,   44,   44,   48,   48,   53,   61,   71,   79,   76,   75,   75,   77,   74,   74,   67,   60,   49,   50,   49,   47,   58,   79,   44,   24, 1403
25日,   48,   38,   35,   36,   35,   35,   36,   47,   61,   96,  108,  113,  113,  109,  115,  112,  104,  100,   96,   91,   90,   92,   90,   94,   79,  115,   35,   24, 1894
26日,   86,   76,   71,   68,   73,   71,   73,   77,   84,  101,  111,  121,  111,  132,  134,  124,  119,  118,  115,  120,  118,  106,   99,   95,  100,  134,   68,   24, 2403
27日,   91,   86,   82,   80,   77,   74,   75,   77,   84,  117,  137,  159,  163,  164,  161,  145,  131,  123,  116,  111,  103,   81,   71,   69,  107,  164,   69,   24, 2577
28日,   74,   76,   70,   64,   45,   50,   51,   51,   52,   70,   78,   90,   87,   81,   83,   73,   65,   55,   48,   41,   37,   32,   30,   24,   59,   90,   24,   24, 1427
29日,   22,   22,   21,   18,   18,   18,   17,   27,   45,   61,   77,   62,   77,   62,   68,   63,   65,   62,   61,   62,   59,   56,   55,   53,   48,   77,   17,   24, 1151
30日,   58,   59,   51,   33,   26,   20,   18,   17,   14,   16,   20,   17,   23,   23,   24,   27,   31,   33,   36,   42,   44,   44,   45,   45,   32,   59,   14,   24,  766
31日,   39,   30,   29,   26,   26,   30,   38,   53,   76,   85,  102,  111,  107,  103,  100,   94,   72,   58,   50,   43,   38,   32,   30,   30,   58,  111,   26,   24, 1402
平均,   54,   51,   49,   46,   45,   44,   43,   52,   66,   79,   92,   98,  101,   99,   98,   90,   82,   74,   70,   66,   63,   60,   57,   54,   68,     ,     ,     ,     
最高,   95,   95,   99,  107,  109,  117,  121,  121,  123,  133,  147,  162,  163,  164,  161,  145,  140,  123,  116,  120,  118,  106,   99,   95,     ,  164,     ,     ,     
最低,   17,   20,   17,   11,    0,    0,   -2,   14,   14,   16,   20,   17,   23,   23,   24,   27,   27,   28,   29,   26,   23,   22,   23,   15,     ,     ,   -2,     ,     
日数,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  744,     
合計, 1662, 1595, 1531, 1429, 1386, 1349, 1319, 1618, 2041, 2455, 2846, 3024, 3129, 3080, 3042, 2804, 2536, 2298, 2162, 2056, 1944, 1863, 1763, 1685,     ,     ,     ,     ,50617
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目,(14),湿度              ,単位,  0.1%
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,  532,  469,  474,  421,  374,  360,  399,  389,  329,  283,  321,  301,  459,  374,  368,  381,  294,  301,  324,  353,  350,  315,  298,  315,  366,  532,  283,   24, 8784
 2日,  307,  290,  301,  330,  401,  427,  418,  391,  384,  345,  266,  199,  265,  223,  276,  394,  440,  509,  486,  503,  513,  326,  356,  487,  368,  513,  199,   24, 8837
 3日,  454,  499,  495,  507,  507,  526,  477,  407,  310,  248,  211,  199,  180,  177,  204,  277,  346,  403,  438,  390,  361,  395,  412,  439,  369,  526,  177,   24, 8862
 4日,  457,  469,  462,  482,  483,  513,  513,  493,  476,  418,  371,  346,  342,  324,  310,  341,  454,  485,  504,  510,  517,  524,  562,  568,  455,  568,  310,   24,10924
 5日,  579,  575,  603,  617,  584,  626,  612,  535,  461,  390,  327,  335,  286,  272,  272,  295,  417,  451,  508,  525,  604,  623,  615,  596,  488,  626,  272,   24,11708
 6日,  655,  651,  632,  614,  610,  599,  604,  582,  574,  579,  589,  531,  619,  739,  832,  884,  888,  853,  624,  456,  399,  407,  409,  392,  613,  888,  392,   24,14722
 7日,  393,  387,  373,  360,  371,  366,  366,  343,  315,  305,  286,  251,  247,  269,  258,  269,  267,  266,  291,  304,  320,  336,  341,  352,  318,  393,  247,   24, 7636
 8日,  356,  301,  274,  298,  299,  293,  299,  284,  252,  242,  238,  196,  200,  202,  207,  258,  269,  294,  322,  357,  371,  362,  341,  294,  284,  371,  196,   24, 6809
 9日,  273,  284,  293,  317,  320,  320,  317,  298,  272,  227,  205,  198,  174,  206,  202,  221,  236,  252,  272,  298,  322,  331,  319,  316,  270,  331,  174,   24, 6473
10日,  347,  328,  301,  326,  346,  311,  339,  279,  241,  208,  183,  166,  167,  156,  152,  166,  220,  255,  262,  281,  311,  331,  370,  401,  269,  401,  152,   24, 6447
11日,  415,  431,  441,  460,  494,  510,  516,  413,  349,  311,  323,  318,  392,  424,  367,  339,  357,  343,  364,  386,  404,  430,  489,  405,  403,  516,  311,   24, 9681
12日,  408,  401,  419,  435,  412,  411,  441,  348,  254,  227,  225,  241,  233,  228,  241,  253,  298,  316,  334,  346,  353,  311,  322,  356,  326,  441,  225,   24, 7813
13日,  329,  331,  339,  338,  331,  341,  370,  361,  331,  316,  298,  251,  251,  234,  236,  334,  337,  326,  335,  367,  393,  401,  393,  394,  331,  401,  234,   24, 7937
14日,  407,  427,  474,  483,  494,  469,  456,  441,  383,  346,  329,  320,  353,  402,  400,  443,  493,  560,  536,  560,  553,  464,  469,  466,  447,  560,  320,   24,10728
15日,  443,  485,  428,  404,  412,  406,  411,  393,  426,  629,  755,  813,  853,  855,  871,  874,  878,  860,  850,  853,  827,  812,  788,  688,  667,  878,  393,   24,16014
16日,  681,  642,  629,  660,  503,  482,  477,  471,  453,  357,  323,  291,  291,  364,  452,  385,  363,  496,  531,  548,  583,  622,  694,  751,  502,  751,  291,   24,12049
17日,  714,  754,  764,  783,  779,  761,  781,  636,  557,  469,  415,  369,  348,  316,  335,  284,  295,  302,  282,  280,  276,  285,  307,  330,  476,  783,  276,   24,11422
18日,  399,  387,  334,  345,  310,  314,  326,  287,  230,  210,  160,  190,  191,  197,  222,  228,  284,  304,  320,  344,  356,  363,  370,  385,  294,  399,  160,   24, 7056
19日,  391,  375,  368,  415,  442,  462,  452,  450,  377,  335,  326,  291,  250,  230,  251,  268,  296,  344,  375,  414,  439,  489,  493,  500,  376,  500,  230,   24, 9033
20日,  522,  511,  508,  495,  456,  415,  413,  388,  364,  348,  285,  277,  253,  260,  263,  270,  284,  299,  331,  348,  357,  358,  344,  338,  362,  522,  253,   24, 8687
21日,  343,  346,  359,  375,  366,  377,  402,  483,  543,  644,  564,  585,  651,  718,  777,  815,  840,  847,  852,  845,  852,  829,  781,  730,  622,  852,  343,   24,14924
22日,  734,  768,  740,  762,  749,  734,  768,  795,  798,  833,  856,  860,  870,  874,  883,  873,  876,  879,  878,  864,  869,  860,  853,  865,  827,  883,  734,   24,19841
23日,  876,  873,  884,  880,  872,  878,  881,  891,  873,  740,  408,  379,  399,  341,  327,  320,  330,  331,  330,  353,  357,  370,  380,  352,  568,  891,  320,   24,13625
24日,  346,  347,  364,  375,  378,  359,  356,  364,  368,  373,  366,  370,  372,  378,  391,  385,  368,  394,  425,  474,  474,  525,  554,  553,  402,  554,  346,   24, 9659
25日,  562,  594,  618,  579,  554,  545,  525,  512,  459,  422,  455,  407,  425,  445,  428,  403,  452,  559,  641,  641,  629,  635,  635,  612,  531,  641,  403,   24,12737
26日,  661,  736,  794,  798,  748,  661,  638,  618,  608,  564,  528,  518,  549,  559,  553,  684,  717,  741,  747,  739,  721,  755,  750,  780,  674,  798,  518,   24,16167
27日,  811,  842,  861,  871,  867,  884,  893,  889,  863,  713,  625,  544,  519,  485,  529,  417,  419,  422,  432,  400,  394,  586,  640,  621,  647,  893,  394,   24,15527
28日,  514,  484,  430,  425,  608,  524,  368,  394,  326,  279,  247,  234,  236,  233,  195,  217,  218,  263,  257,  272,  295,  323,  325,  347,  334,  608,  195,   24, 8014
29日,  344,  348,  341,  361,  352,  347,  364,  356,  315,  291,  274,  239,  297,  271,  255,  225,  280,  409,  519,  520,  536,  546,  548,  534,  370,  548,  225,   24, 8872
30日,  501,  485,  560,  740,  807,  835,  850,  848,  857,  853,  860,  865,  868,  854,  862,  859,  863,  854,  847,  834,  799,  797,  789,  798,  795,  868,  485,   24,19085
31日,  793,  821,  850,  848,  837,  851,  849,  631,  458,  381,  337,  194,  160,  164,  180,  199,  340,  374,  400,  396,  418,  456,  429,  358,  489,  851,  160,   24,11724
平均,  502,  505,  507,  519,  518,  513,  512,  483,  445,  416,  386,  364,  377,  380,  390,  405,  433,  461,  472,  476,  482,  489,  496,  494,  459,     ,     ,     ,     
最高,  876,  873,  884,  880,  872,  884,  893,  891,  873,  853,  860,  865,  870,  874,  883,  884,  888,  879,  878,  864,  869,  860,  853,  865,     ,  893,     ,     ,     
最低,  273,  284,  274,  298,  299,  293,  299,  279,  230,  208,  160,  166,  160,  156,  152,  166,  218,  252,  257,  272,  276,  285,  298,  294,     ,     ,  152,     ,     
日数,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  744,     
合計,15547,15641,15713,16104,16066,15907,15881,14970,13806,12886,11956,11278,11700,11774,12099,12561,13419,14292,14617,14761,14953,15167,15376,15323,     ,     ,     ,     ,341797
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目,(16),ＰＭ２．５           ,単位, μg/m3
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   11,   -2,    2,    0,    2,    2,    3,    3,    1,    4,    4,    5,    8,    5,    9,    7,    4,    7,    7,   10,    9,    5,    5,    5,  4.8,   11,   -2,   24,  116
 2日,    7,    5,    5,    6,    6,    8,    6,    6,   11,   14,   10,    6,    7,   10,   13,   16,    7,    6,    7,    9,   11,    9,   14,   16,  9.0,   16,    5,   24,  215
 3日,    7,    3,    2,    2,    2,    4,    3,    4,    1,   -1,    3,    2,    3,    5,    4,    8,    6,   10,   13,   12,    7,   11,    7,   11,  5.4,   13,   -1,   24,  129
 4日,   10,    9,    7,    8,    8,    9,    8,   10,   11,   13,   16,   15,   14,   11,   14,   18,   19,   22,   28,   32,   39,   33,   30,   26, 17.1,   39,    7,   24,  410
 5日,   20,   16,   18,   16,   18,   19,   15,   14,   13,   16,   13,   14,   18,   18,   19,   22,   27,   25,   29,   32,   31,   30,   28,   25, 20.7,   32,   13,   24,  496
 6日,   18,   18,   13,   12,   12,   12,   12,   12,   12,   17,   14,   10,   18,   20,   17,   15,   11,   11,   20,    2,   -2,    3,    5,    2, 11.8,   20,   -2,   24,  284
 7日,    1,    5,    1,   -1,    1,    1,    2,    4,    4,    3,    4,    1,    1,    7,    5,    3,    2,    3,    5,    4,    5,    5,    7,    3,  3.2,    7,   -1,   24,   76
 8日,    5,    4,    7,    6,    8,    5,    5,    6,    4,    5,    5,    5,    7,    8,*****,   17,   13,   12,   16,   10,    8,    7,    9,    8,  7.8,   17,    4,   23,  180
 9日,    6,    7,    8,    5,    3,    4,    6,    6,    6,    8,    7,    7,    8,   10,    8,   10,    8,   10,    9,   12,   10,    6,    6,    7,  7.4,   12,    3,   24,  177
10日,    6,    7,    7,    7,    8,    5,    6,    6,    6,    4,    5,    3,    6,    9,    3,    3,    6,    8,    8,    8,    7,    7,   11,    8,  6.4,   11,    3,   24,  154
11日,    6,    7,    5,    4,    8,    7,    9,    4,    5,    5,    7,    5,   14,   12,    6,    8,   14,   16,   16,   17,   14,   18,   16,    3,  9.4,   18,    3,   24,  226
12日,    2,    4,    4,    1,    5,    4,    6,    2,    6,    3,    8,    6,    5,    7,    7,    7,    5,    1,    3,    3,    8,    3,    2,    7,  4.5,    8,    1,   24,  109
13日,    1,   -1,    4,    2,    2,    2,    7,    3,    3,    5,    7,    2,    7,    5,    7,    9,   19,   16,   10,    6,    6,    7,    9,    6,  6.0,   19,   -1,   24,  144
14日,    8,    8,   11,   12,   13,   11,    9,   13,   16,   17,   17,   18,   34,   39,   38,   45,   45,   43,   46,   53,   47,   49,   51,   53, 29.0,   53,    8,   24,  696
15日,   55,   60,   53,   62,   64,   63,   55,   49,   53,   54,   52,   44,*****,   47,   44,   30,   24,   20,   10,    4,    3,    5,    7,    2, 37.4,   64,    2,   23,  860
16日,    2,    3,    3,    4,    4,    9,   11,   16,   17,   12,   14,    7,    9,   21,   21,   18,   16,   16,   12,   15,   18,   16,   19,   21, 12.7,   21,    2,   24,  304
17日,   20,   24,   22,   22,   23,   24,   24,   21,   19,   19,   10,    1,    3,    3,    5,    4,    4,    5,    3,    7,    5,    6,    2,    8, 11.8,   24,    1,   24,  284
18日,    5,    5,    2,    7,    5,    3,    1,    3,    4,    2,    0,    3,    7,    9,    5,    4,    8,   10,    7,   10,   11,    9,    7,    9,  5.7,   11,    0,   24,  136
19日,    9,    7,    8,   10,    9,   12,   10,   10,   12,   13,   20,   12,   10,   12,   15,   18,   18,   21,   15,   10,   10,   12,   12,   14, 12.5,   21,    7,   24,  299
20日,   16,   12,   14,   15,   15,   12,   15,   17,   19,   21,   21,   15,   19,   18,   21,   13,   15,   13,   16,   16,   14,   17,   13,   15, 15.9,   21,   12,   24,  382
21日,   15,   14,   13,   16,   17,   16,   22,   20,   19,   26,   24,   26,   25,   31,   43,   36,   31,   29,   27,   22,   23,   20,   26,   29, 23.8,   43,   13,   24,  570
22日,   32,   27,   25,   23,   19,   20,   22,   21,   22,   26,   22,   20,   19,   17,*****,   17,   19,   25,   27,   19,   16,   11,   11,   11, 20.5,   32,   11,   23,  471
23日,   11,   10,    9,   12,    7,    8,    9,   13,   16,   13,   -1,   -1,    4,    1,    6,    2,    5,    5,    4,    5,    2,    4,    3,    2,  6.2,   16,   -1,   24,  149
24日,    5,    5,    3,    2,    5,    5,    3,    5,    6,    5,    5,    9,   13,   15,   13,   16,   12,   15,   20,   25,   24,   29,   28,   28, 12.3,   29,    2,   24,  296
25日,   26,   27,   27,   23,   23,   23,   22,   21,   20,   20,   15,   10,   13,   16,   12,   10,   15,   19,   14,   16,   14,   19,   15,   16, 18.2,   27,   10,   24,  436
26日,   20,   25,   23,   19,   18,   21,   27,   24,   28,   27,   27,   20,   37,   41,   27,   39,   45,   46,   46,   39,   37,   44,   48,   51, 32.5,   51,   18,   24,  779
27日,   46,   47,   48,   46,   43,   37,   32,   30,   30,   26,   24,   16,   19,   15,   15,    1,    2,    1,    3,    3,    3,    7,    7,    3, 21.0,   48,    1,   24,  504
28日,    4,    5,    2,    2,    7,    4,    1,    5,    2,    5,    2,    3,    6,    6,    3,    1,    3,    4,    4,    5,    4,    6,    5,    7,  4.0,    7,    1,   24,   96
29日,    7,    5,    2,    3,    4,    5,    5,    6,    8,    9,    9,    5,   15,   12,   12,   11,   11,   14,   15,    7,    9,    8,    8,    7,  8.2,   15,    2,   24,  197
30日,    8,    6,    8,   14,   18,   21,   20,   19,   18,   18,   18,   24,   23,   21,   30,   26,   24,   17,   16,   12,   12,   16,   14,   20, 17.6,   30,    6,   24,  423
31日,   23,   26,   25,   24,   22,   22,   15,    0,    0,   -1,   -2,   -3,   -1,   -3,    1,   -1,    6,   -1,    0,    1,    2,    7,    4,    1,  7.0,   26,   -3,   24,  167
平均,   13,   13,   12,   12,   13,   13,   13,   12,   13,   13,   12,   10,   12,   14,   15,   14,   14,   14,   15,   14,   13,   14,   14,   14, 13.2,     ,     ,     ,     
最高,   55,   60,   53,   62,   64,   63,   55,   49,   53,   54,   52,   44,   37,   47,   44,   45,   45,   46,   46,   53,   47,   49,   51,   53,     ,   64,     ,     ,     
最低,    1,   -2,    1,   -1,    1,    1,    1,    0,    0,   -1,   -2,   -3,   -1,   -3,    1,   -1,    2,   -1,    0,    1,   -2,    3,    2,    1,     ,     ,   -3,     ,     
日数,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   30,   31,   29,   31,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  741,     
合計,  412,  398,  381,  384,  399,  398,  391,  373,  392,  408,  380,  310,  371,  448,  423,  433,  444,  449,  456,  426,  407,  429,  429,  424,     ,     ,     ,     , 9765
